set,rank,prop
baseline,0,view(v_v).
baseline,0,"encoding(v_v,e0)."
baseline,0,"encoding(v_v,e1)."
baseline,0,"encoding(v_v,e2)."
baseline,0,"type(v_v,e0,nominal)."
baseline,0,"type(v_v,e1,nominal)."
baseline,0,"channel(v_v,e0,x)."
baseline,0,"channel(v_v,e1,y)."
baseline,0,"channel(v_v,e2,size)."
baseline,0,"field(v_v,e0,""region"")."
baseline,0,"field(v_v,e1,""role"")."
baseline,0,"field(v_v,e2,""zero_hr_contract_pct"")."
baseline,0,"zero(v_v,e2)."
baseline,0,"type(v_v,e2,quantitative)."
baseline,0,"mark(v_v,point)."
baseline,1,view(v_v).
baseline,1,"encoding(v_v,e0)."
baseline,1,"encoding(v_v,e1)."
baseline,1,"encoding(v_v,e2)."
baseline,1,"type(v_v,e0,nominal)."
baseline,1,"type(v_v,e1,nominal)."
baseline,1,"channel(v_v,e1,x)."
baseline,1,"channel(v_v,e0,y)."
baseline,1,"channel(v_v,e2,size)."
baseline,1,"field(v_v,e0,""region"")."
baseline,1,"field(v_v,e1,""role"")."
baseline,1,"field(v_v,e2,""zero_hr_contract_pct"")."
baseline,1,"zero(v_v,e2)."
baseline,1,"type(v_v,e2,quantitative)."
baseline,1,"mark(v_v,point)."
baseline,2,view(v_v).
baseline,2,"encoding(v_v,e0)."
baseline,2,"encoding(v_v,e1)."
baseline,2,"encoding(v_v,e2)."
baseline,2,"type(v_v,e0,nominal)."
baseline,2,"type(v_v,e1,nominal)."
baseline,2,"channel(v_v,e2,x)."
baseline,2,"channel(v_v,e0,y)."
baseline,2,"channel(v_v,e1,color)."
baseline,2,"field(v_v,e0,""region"")."
baseline,2,"field(v_v,e1,""role"")."
baseline,2,"field(v_v,e2,""zero_hr_contract_pct"")."
baseline,2,"zero(v_v,e2)."
baseline,2,"type(v_v,e2,quantitative)."
baseline,2,"mark(v_v,tick)."
baseline,3,view(v_v).
baseline,3,"encoding(v_v,e0)."
baseline,3,"encoding(v_v,e1)."
baseline,3,"encoding(v_v,e2)."
baseline,3,"type(v_v,e0,nominal)."
baseline,3,"type(v_v,e1,nominal)."
baseline,3,"channel(v_v,e2,x)."
baseline,3,"channel(v_v,e0,y)."
baseline,3,"channel(v_v,e1,color)."
baseline,3,"field(v_v,e0,""region"")."
baseline,3,"field(v_v,e1,""role"")."
baseline,3,"field(v_v,e2,""zero_hr_contract_pct"")."
